Organism,Tudortblastn,PWWPtblastn,MutS,Tudor_domain,Tudor_dist,PWWP_domain,PWWP_dist,Tudor_call,PWWP_call,tipcolor,Genus
Sousa chinensis,Inf,3170,1,0,Inf,2,21,Absent,Present,PWWP,Sousa
Sparassis crispa,264009,180190,2,0,Inf,0,1679928,Absent,Absent,None,Sparassis
Sparganum proliferum,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Sparganum
Spathaspora passalidarum NRRL Y-27907,336092,176231,2,0,Inf,0,Inf,Absent,Absent,None,Spathaspora
Spathaspora sp. JA1,22337,15310,1,0,25180,0,Inf,Absent,Absent,None,Spathaspora
Spatholobus suberectus,1361,2285112,1,2,267,0,3335364,Present,Absent,Tudor,Spatholobus
Sphaceloma murrayae,Inf,68496,1,0,Inf,0,Inf,Absent,Absent,None,Sphaceloma
Sphaeramia orbicularis,Inf,1528,2,0,Inf,4,0,Absent,Present,PWWP,Sphaeramia
Sphaerobolus stellatus SS14,Inf,Inf,6,0,Inf,0,Inf,Absent,Absent,None,Sphaerobolus
Sphaerodactylus townsendi,2064061,3440,3,0,2063572,6,0,Absent,Present,PWWP,Sphaerodactylus
Sphaeroforma arctica JP610,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Sphaeroforma
Sphaerosporella brunnea,136084,Inf,1,0,135723,0,Inf,Absent,Absent,None,Sphaerosporella
Sphaerulina musiva SO2202,21113,32812,2,0,20152,0,1336013,Absent,Absent,None,Sphaerulina
Sphagnum fallax,1474,1723679,4,2,270,0,6592978,Present,Absent,Tudor,Sphagnum
Sphagnurus paluster,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Sphagnurus
Spheniscus demersus,Inf,4723,1,0,Inf,2,21,Absent,Present,PWWP,Spheniscus
Spheniscus humboldti,Inf,4734,1,0,Inf,2,12927,Absent,Present,PWWP,Spheniscus
Spheniscus magellanicus,Inf,4737,1,0,Inf,2,12935,Absent,Present,PWWP,Spheniscus
Spheniscus mendiculus,Inf,4728,1,0,Inf,2,21,Absent,Present,PWWP,Spheniscus
Spinacia oleracea,2042,506642,2,4,345,0,22235822,Present,Absent,Tudor,Spinacia
Spinellus fusiger,Inf,83790,1,0,Inf,0,Inf,Absent,Absent,None,Spinellus
Spirodela intermedia,801,33232,1,2,8844,0,1002987,Present,Absent,Tudor,Spirodela
Spirometra erinaceieuropaei,Inf,297963,3,0,Inf,0,290318,Absent,Absent,None,Spirometra
Spiromyces aspiralis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Spiromyces
Spizellomyces punctatus DAOM BR117,144156,27306,1,0,Inf,0,297516,Absent,Absent,None,Spizellomyces
Spizellomyces sp. 'palustris',Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Spizellomyces
Spodoptera exigua,Inf,2001908,3,0,Inf,0,Inf,Absent,Absent,None,Spodoptera
Spodoptera frugiperda,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Spodoptera
Spodoptera littoralis,Inf,5490519,1,0,Inf,0,Inf,Absent,Absent,None,Spodoptera
Spodoptera litura,Inf,7237249,2,0,Inf,0,Inf,Absent,Absent,None,Spodoptera
Sporisorium scitamineum,27181,9511,2,0,Inf,0,202427,Absent,Absent,None,Sporisorium
Sporobolomyces salmonicolor,207542,369921,1,0,236450,0,Inf,Absent,Absent,None,Sporobolomyces
Sporodiniella umbellata,144846,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Sporodiniella
Sporothrix brasiliensis 5110,130655,1109931,2,0,690758,0,Inf,Absent,Absent,None,Sporothrix
Sporothrix insectorum RCEF 264,1227124,67986,1,0,Inf,0,Inf,Absent,Absent,None,Sporothrix
Sporothrix schenckii 1099-18,892432,184772,2,0,891325,0,978903,Absent,Absent,None,Sporothrix
Sporothrix schenckii ATCC 58251,891897,185177,1,0,890790,0,Inf,Absent,Absent,None,Sporothrix
Stachybotrys chartarum IBT 40288,42037,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Stachybotrys
Stachybotrys chartarum IBT 40293,42070,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Stachybotrys
Stachybotrys chartarum IBT 7711,42052,34929,1,0,Inf,0,38038,Absent,Absent,None,Stachybotrys
Stachybotrys chlorohalonata IBT 40285,74536,17768,1,0,Inf,0,Inf,Absent,Absent,None,Stachybotrys
Stachybotrys elegans,97475,408639,1,0,100263,0,763444,Absent,Absent,None,Stachybotrys
Stagonospora sp. SRC1lsM3a,213054,270863,1,0,792555,0,Inf,Absent,Absent,None,Stagonospora
Staphylotrichum longicolle,19720,253084,1,0,3505446,0,367480,Absent,Absent,None,Staphylotrichum
Steatornis caripensis,Inf,5713,1,0,Inf,2,8100,Absent,Present,PWWP,Steatornis
Stegastes partitus,Inf,963,2,0,Inf,4,0,Absent,Present,PWWP,Stegastes
Stegodyphus dumicola,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Stegodyphus
Stegodyphus mimosarum,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Stegodyphus
Stegostoma fasciatum,Inf,6766,1,0,Inf,2,1019,Absent,Present,PWWP,Stegostoma
Steinernema carpocapsae,994364,1252602,1,0,1529120,0,4402740,Absent,Absent,None,Steinernema
Steinernema hermaphroditum,10438818,593972,4,0,Inf,0,598356,Absent,Absent,None,Steinernema
Stentor coeruleus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Stentor
Stercorarius parasiticus,Inf,4869,1,0,Inf,2,24,Absent,Present,PWWP,Stercorarius
Stereum hirsutum FP-91666 SS1,230919,209307,1,0,Inf,0,Inf,Absent,Absent,None,Stereum
Sticta canariensis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Sticta
Stictis urceolata,Inf,70866,1,0,Inf,0,Inf,Absent,Absent,None,Stictis
Streblomastix strix,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Streblomastix
Striga asiatica,1206,Inf,1,2,7536,0,Inf,Present,Absent,Tudor,Striga
Striga hermonthica,1197,1257296,2,4,351,0,Inf,Present,Absent,Tudor,Striga
Strigomonas culicis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Strigomonas
Strigops habroptila,Inf,4643,2,0,Inf,4,0,Absent,Present,PWWP,Strigops
Stromatinia cepivora,619949,150171,1,0,Inf,0,Inf,Absent,Absent,None,Stromatinia
Strongylocentrotus purpuratus,Inf,7374,1,0,Inf,2,50916,Absent,Present,PWWP,Strongylocentrotus
Strongyloides ratti,Inf,4066970,2,0,Inf,0,4077446,Absent,Absent,None,Strongyloides
Strongylus vulgaris,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Strongylus
Struthidea cinerea,Inf,4204,1,0,Inf,2,12582,Absent,Present,PWWP,Struthidea
Struthio camelus australis,Inf,4736,2,0,Inf,4,18,Absent,Present,PWWP,Struthio
Sturnira hondurensis,Inf,3728,2,0,Inf,4,0,Absent,Present,PWWP,Sturnira
Sturnus vulgaris,Inf,4078,1,0,Inf,2,12276,Absent,Present,PWWP,Sturnus
Styela clava,Inf,591,2,0,Inf,4,252,Absent,Present,PWWP,Styela
Stylonectria norvegica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Stylonectria
Stylonychia lemnae,Inf,Inf,5,0,Inf,0,Inf,Absent,Absent,None,Stylonychia
Stylophora pistillata,Inf,8562,1,0,Inf,2,29984,Absent,Present,PWWP,Stylophora
Sugiyamaella lignohabitans,5698,39447,2,0,482633,0,1021640,Absent,Absent,None,Sugiyamaella
Suhomyces tanzawaensis NRRL Y-17324,158845,10873,2,0,Inf,0,473943,Absent,Absent,None,Suhomyces
Suillus americanus,Inf,754441,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus ampliporus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus bovinus,87236,95634,2,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus brevipes Sb2,15560,170685,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus cothurnatus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus decipiens,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus discolor,9200,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus fuscotomentosus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus hirtellus,Inf,28928,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus lakei,Inf,43564,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus luteus UH-Slu-Lm8-n1,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus occidentalis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus paluster,Inf,61170,2,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus plorans,838588,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus spraguei,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus subalutaceus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus subaureus,Inf,479078,2,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus subluteus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus tomentosus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suillus variegatus,Inf,81897,1,0,Inf,0,Inf,Absent,Absent,None,Suillus
Suncus etruscus,Inf,4598,2,0,Inf,4,0,Absent,Present,PWWP,Suncus
Suricata suricatta,Inf,4062,2,0,Inf,4,0,Absent,Present,PWWP,Suricata
Sus scrofa,71141931,4828,2,0,Inf,4,0,Absent,Present,PWWP,Sus
Sylvia atricapilla,Inf,4154,1,0,Inf,2,11996,Absent,Present,PWWP,Sylvia
Sylvia borin,Inf,4166,1,0,Inf,2,21,Absent,Present,PWWP,Sylvia
Symbiodinium microadriaticum,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Symbiodinium
Symbiodinium natans,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Symbiodinium
Symbiodinium necroappetens,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Symbiodinium
Symbiodinium pilosum,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Symbiodinium
Symbiodinium sp. CCMP2456,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Symbiodinium
Symbiodinium sp. CCMP2592,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Symbiodinium
Synaphobranchus kaupii,Inf,1909,1,0,Inf,2,2161,Absent,Present,PWWP,Synaphobranchus
Syncephalis fuscata,Inf,310405,1,0,Inf,0,Inf,Absent,Absent,None,Syncephalis
Syncephalis plumigaleata,Inf,243848,1,0,Inf,0,Inf,Absent,Absent,None,Syncephalis
Syncephalis pseudoplumigaleata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Syncephalis
Synchiropus splendidus,Inf,831,1,0,Inf,2,4947,Absent,Present,PWWP,Synchiropus
Synchytrium endobioticum,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Synchytrium
Synchytrium microbalum,Inf,55830,2,0,Inf,0,Inf,Absent,Absent,None,Synchytrium
Syngnathus scovelli,2572607,741,1,0,2570923,2,631,Absent,Present,PWWP,Syngnathus
Syzygium grande,1271,1075488,2,2,309,0,1078730,Present,Absent,Tudor,Syzygium
Syzygium oleosum,1270,230253,1,2,300,0,1082292,Present,Absent,Tudor,Syzygium
Tachysurus fulvidraco,2742090,5371,2,0,Inf,4,0,Absent,Present,PWWP,Tachysurus
Taenia asiatica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Taenia
Taeniopygia guttata,Inf,4020,3,0,Inf,4,0,Absent,Present,PWWP,Taeniopygia
Takifugu flavidus,Inf,685,3,0,Inf,6,0,Absent,Present,PWWP,Takifugu
Takifugu rubripes,13670362,685,2,0,Inf,4,4613,Absent,Present,PWWP,Takifugu
Talaromyces amestolkiae,Inf,81935,2,0,Inf,0,228860,Absent,Absent,None,Talaromyces
Talaromyces atroroseus,235952,14512,1,0,Inf,0,Inf,Absent,Absent,None,Talaromyces
Talaromyces islandicus,948087,147987,1,0,951202,0,939893,Absent,Absent,None,Talaromyces
Talaromyces marneffei,240488,50090,3,0,Inf,0,156831,Absent,Absent,None,Talaromyces
Talaromyces marneffei ATCC 18224,250520,50107,1,0,Inf,0,163452,Absent,Absent,None,Talaromyces
Talaromyces pinophilus,903355,284192,3,0,Inf,0,515230,Absent,Absent,None,Talaromyces
Talaromyces proteolyticus,412856,434884,2,0,415974,0,745184,Absent,Absent,None,Talaromyces
Talaromyces rugulosus,421754,60796,2,0,Inf,0,Inf,Absent,Absent,None,Talaromyces
Talaromyces stipitatus ATCC 10500,249043,1283252,2,0,Inf,0,Inf,Absent,Absent,None,Talaromyces
Talaromyces verruculosus,1078518,30337,1,0,Inf,0,Inf,Absent,Absent,None,Talaromyces
Talpa occidentalis,Inf,4873,1,0,Inf,2,11910,Absent,Present,PWWP,Talpa
Tanacetum coccineum,962,Inf,22,5,216,0,Inf,Present,Absent,Tudor,Tanacetum
Tarenaya hassleriana,671,4372634,1,2,279,0,4377705,Present,Absent,Tudor,Tarenaya
Tauraco erythrolophus,Inf,5068,3,0,Inf,6,0,Absent,Present,PWWP,Tauraco
Taxus chinensis,22359,210717287,1,0,48816,0,613469927,Absent,Absent,None,Taxus
Tegillarca granosa,Inf,32731,5,0,Inf,2,51558,Absent,Present,PWWP,Tegillarca
Teladorsagia circumcincta,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Teladorsagia
Teleopsis dalmanni,Inf,82131,2,0,Inf,0,77756475,Absent,Absent,None,Teleopsis
Telopea speciosissima,1631,1776924,1,2,33658,0,11643799,Present,Absent,Tudor,Telopea
Teloschistes flavicans,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Teloschistes
Teloschistes peruensis,Inf,8197,1,0,Inf,0,Inf,Absent,Absent,None,Teloschistes
Temnothorax curvispinosus,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Temnothorax
Temnothorax longispinosus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Temnothorax
Tenebrio molitor,7000706,472674,3,0,Inf,0,Inf,Absent,Absent,None,Tenebrio
Tephrocybe rancida,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Tephrocybe
Tephrocybe sp. NHM501043,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Tephrocybe
Teratosphaeria destructans,106328,85334,1,0,Inf,0,Inf,Absent,Absent,None,Teratosphaeria
Teratosphaeria nubilosa,102116,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Teratosphaeria
Terfezia boudieri ATCC MYA-4762,320552,818940,1,0,Inf,0,Inf,Absent,Absent,None,Terfezia
Terfezia claveryi,Inf,195726,1,0,Inf,0,Inf,Absent,Absent,None,Terfezia
Termitomyces sp. 'cryptogamus',1952446,Inf,1,0,1957540,0,Inf,Absent,Absent,None,Termitomyces
Termitomyces sp. J132,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Termitomyces
Termitomyces sp. Mi166#008,79451,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Termitomyces
Termitomyces sp. Mn162,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Termitomyces
Termitomyces sp. T112,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Termitomyces
Termitomyces sp. T159_Od127,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Termitomyces
Termitomyces sp. T32_za158,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Termitomyces
Terramyces sp. JEL0728,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Terramyces
Terrapene carolina triunguis,Inf,12112,3,0,Inf,6,0,Absent,Present,PWWP,Terrapene
Testicularia cyperi,143851,37602,1,0,643327,0,493323,Absent,Absent,None,Testicularia
Tetracentron sinense,1297,847773,1,2,18080,0,863564,Present,Absent,Tudor,Tetracentron
Tetradesmus obliquus,2614,164144,2,4,10882,0,4631971,Present,Absent,Tudor,Tetradesmus
Tetrahymena thermophila SB210,Inf,Inf,8,0,Inf,0,Inf,Absent,Absent,None,Tetrahymena
Tetranychus urticae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Tetranychus
Tetraodon nigroviridis,Inf,832,1,0,Inf,2,4600,Absent,Present,PWWP,Tetraodon
Tetraparma gracilis,Inf,Inf,2,1,Inf,0,Inf,Present,Absent,Tudor,Tetraparma
Tetrapisispora blattae CBS 6284,434385,93036,2,0,Inf,0,94391,Absent,Absent,None,Tetrapisispora
Tetrapisispora phaffii CBS 4417,152988,174968,4,0,Inf,0,Inf,Absent,Absent,None,Tetrapisispora
Tetrapyrgos nigripes,Inf,78306,1,0,Inf,0,Inf,Absent,Absent,None,Tetrapyrgos
Thalassarche chlororhynchos,Inf,4776,1,0,Inf,2,13579,Absent,Present,PWWP,Thalassarche
Thalassiosira oceanica,699,Inf,1,2,1369,0,Inf,Present,Absent,Tudor,Thalassiosira
Thalassiosira pseudonana CCMP1335,116653,78106,2,0,738970,0,Inf,Absent,Absent,None,Thalassiosira
Thalassophryne amazonica,22685125,7145,1,0,34895157,2,3311,Absent,Present,PWWP,Thalassophryne
Thalictrum thalictroides,2255,Inf,1,2,15350,0,Inf,Present,Absent,Tudor,Thalictrum
Thamnidium elegans,Inf,248569,2,0,Inf,0,Inf,Absent,Absent,None,Thamnidium
Thamnocephalis sphaerospora,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thamnocephalis
Thecamonas trahens ATCC 50062,92408,41831,2,0,89601,0,168683,Absent,Absent,None,Thecamonas
Theileria equi strain WA,189903,138623,1,0,1015875,0,820454,Absent,Absent,None,Theileria
Theileria orientalis,69092,21919,1,0,357428,0,152847,Absent,Absent,None,Theileria
Theileria orientalis strain Shintoku,364719,Inf,2,0,364174,0,Inf,Absent,Absent,None,Theileria
Theileria parva strain Muguga,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Theileria
Thelazia callipaeda,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thelazia
Thelephora terrestris,31955,135272,1,0,Inf,0,Inf,Absent,Absent,None,Thelephora
Thelocarpon impressellum,Inf,160040,1,0,Inf,0,Inf,Absent,Absent,None,Thelocarpon
Thelocarpon superellum,6209,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thelocarpon
Thelohanellus kitauei,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thelohanellus
Thelonectria olida,376179,68866,1,0,Inf,0,Inf,Absent,Absent,None,Thelonectria
Thelotrema lepadinum,7190,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thelotrema
Theobroma cacao,1362,794100,1,2,8016,0,1830076,Present,Absent,Tudor,Theobroma
Thermochaetoides thermophila DSM 1495,53731,155434,2,0,52641,0,241371,Absent,Absent,None,Thermochaetoides
Thermothelomyces thermophilus ATCC 42464,446879,131405,2,0,444066,0,256675,Absent,Absent,None,Thermothelomyces
Thermothielavioides terrestris,333869,12263,1,0,Inf,0,77838,Absent,Absent,None,Thermothielavioides
Thermothielavioides terrestris NRRL 8126,86173,12236,2,0,Inf,0,74395,Absent,Absent,None,Thermothielavioides
Thielaviopsis punctulata,Inf,367942,1,0,Inf,0,Inf,Absent,Absent,None,Thielaviopsis
Thinocorus orbignyianus,Inf,4773,1,0,Inf,2,21,Absent,Present,PWWP,Thinocorus
Thlaspi arvense,761,987988,1,2,342,0,986480,Present,Absent,Tudor,Thlaspi
Thoreauomyces humboldtii,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thoreauomyces
Thozetella sp. PMI_491,285054,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thozetella
Thraustotheca clavata,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Thraustotheca
Thrips palmi,Inf,1146,1,0,Inf,2,2107,Absent,Present,PWWP,Thrips
Thryothorus ludovicianus,Inf,4021,1,0,Inf,2,12276,Absent,Present,PWWP,Thryothorus
Thunnus albacares,3661916,1020,1,0,Inf,2,1340,Absent,Present,PWWP,Thunnus
Thunnus maccoyii,8222841,1002,1,0,Inf,2,6435,Absent,Present,PWWP,Thunnus
Thyridium curvatum,Inf,46703,1,0,Inf,0,Inf,Absent,Absent,None,Thyridium
Tichodroma muraria,Inf,4106,1,0,Inf,2,12015,Absent,Present,PWWP,Tichodroma
Tieghemiomyces parasiticus,Inf,69883,2,0,Inf,0,Inf,Absent,Absent,None,Tieghemiomyces
Tieghemostelium lacteum,965143,324435,1,0,Inf,0,Inf,Absent,Absent,None,Tieghemostelium
Tigriopus californicus,2313128,7296,1,0,Inf,0,7965440,Absent,Absent,None,Tigriopus
Tilletia caries,Inf,Inf,5,0,Inf,0,Inf,Absent,Absent,None,Tilletia
Tilletia controversa,Inf,Inf,7,0,Inf,0,Inf,Absent,Absent,None,Tilletia
Tilletia horrida,114620,32110,7,0,Inf,0,Inf,Absent,Absent,None,Tilletia
Tilletia laevis,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Tilletia
Tilletia walkeri,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Tilletia
Tilletiaria anomala UBC 951,112937,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Tilletiaria
Tilletiopsis washingtonensis,123569,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Tilletiopsis
Timema podura,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Timema
Tinamus guttatus,Inf,1801,2,0,Inf,2,10095,Absent,Present,PWWP,Tinamus
Tirmania nivea,Inf,218136,1,0,Inf,0,Inf,Absent,Absent,None,Tirmania
Toensbergia leucococca,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Toensbergia
Tolypocladium capitatum,Inf,15211,1,0,Inf,0,Inf,Absent,Absent,None,Tolypocladium
Tolypocladium ophioglossoides CBS 100239,435716,217580,1,0,1434110,0,Inf,Absent,Absent,None,Tolypocladium
Tolypocladium paradoxum,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Tolypocladium
Tortispora caseinolytica NRRL Y-17796,312526,13983,1,0,706338,0,Inf,Absent,Absent,None,Tortispora
Torulaspora delbrueckii,26997,242974,2,0,Inf,0,549256,Absent,Absent,None,Torulaspora
Torulaspora globosa,170288,112628,2,0,169526,0,314989,Absent,Absent,None,Torulaspora
Torulaspora sp. CBS 2947,382129,142258,1,0,382858,0,Inf,Absent,Absent,None,Torulaspora
Tothia fuscella,13682,634516,1,0,Inf,0,Inf,Absent,Absent,None,Tothia
Toxocara canis,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Toxocara
Toxoplasma gondii,320905,320430,1,0,1757412,0,319400,Absent,Absent,None,Toxoplasma
Toxoplasma gondii ARI,322075,322119,1,0,1717903,0,321093,Absent,Absent,None,Toxoplasma
Toxoplasma gondii FOU,327704,325027,1,0,Inf,0,334177,Absent,Absent,None,Toxoplasma
Toxoplasma gondii GAB2-2007-GAL-DOM2,323278,322561,1,0,Inf,0,321531,Absent,Absent,None,Toxoplasma
Toxoplasma gondii GT1,321798,320263,1,0,Inf,0,319233,Absent,Absent,None,Toxoplasma
Toxoplasma gondii MAS,325447,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Toxoplasma
Toxoplasma gondii ME49,320179,319857,1,0,1699695,0,318831,Absent,Absent,None,Toxoplasma
Toxoplasma gondii RUB,328386,327401,1,0,Inf,0,336633,Absent,Absent,None,Toxoplasma
Toxoplasma gondii TgCatPRC2,327406,324382,1,0,Inf,0,335251,Absent,Absent,None,Toxoplasma
Toxoplasma gondii VAND,323651,324230,1,0,Inf,0,333421,Absent,Absent,None,Toxoplasma
Toxoplasma gondii VEG,320518,319966,1,0,Inf,0,330809,Absent,Absent,None,Toxoplasma
Toxoplasma gondii p89,326120,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Toxoplasma
Toxorhynchites rutilus septentrionalis,4020180,3656365,1,0,46907183,0,65984935,Absent,Absent,None,Toxorhynchites
Toxostoma redivivum,Inf,4092,1,0,Inf,2,21,Absent,Present,PWWP,Toxostoma
Toxotes jaculatrix,Inf,944,1,0,Inf,2,5733,Absent,Present,PWWP,Toxotes
Trachemys scripta elegans,Inf,11757,3,0,Inf,6,0,Absent,Present,PWWP,Trachemys
Trachipleistophora hominis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Trachipleistophora
Trachymyrmex cornetzi,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Trachymyrmex
Trachymyrmex septentrionalis,Inf,284094,3,0,Inf,0,Inf,Absent,Absent,None,Trachymyrmex
Trachymyrmex zeteki,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Trachymyrmex
Trachypithecus francoisi,Inf,9727,2,0,Inf,4,0,Absent,Present,PWWP,Trachypithecus
Trametes cingulata,677874,250740,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes cinnabarina,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes coccinea BRFM310,47396,1331968,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes cubensis,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes elegans,523857,50798,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes gibbosa,Inf,62194,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes maxima,266707,49635,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes meyenii,97831,36199,1,0,102569,0,Inf,Absent,Absent,None,Trametes
Trametes polyzona,Inf,85196,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes pubescens,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes sanguinea,Inf,57065,2,0,Inf,0,Inf,Absent,Absent,None,Trametes
Trametes versicolor FP-101664 SS1,1665146,90229,1,0,Inf,0,108394,Absent,Absent,None,Trametes
Trapelia coarctata,Inf,36754,1,0,Inf,0,Inf,Absent,Absent,None,Trapelia
Trebouxia sp. A1-2,1500,431179,1,1,554,0,Inf,Present,Absent,Tudor,Trebouxia
Trema orientale,1526,Inf,1,2,321,0,Inf,Present,Absent,Tudor,Trema
Trematomus bernacchii,Inf,1192,1,0,Inf,2,1582,Absent,Present,PWWP,Trematomus
Trematosphaeria pertusa,Inf,17851,2,0,Inf,0,572052,Absent,Absent,None,Trematosphaeria
Tremella mesenterica,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Tremella
Tremella mesenterica DSM 1558,1061321,747578,1,0,Inf,0,750654,Absent,Absent,None,Tremella
Tremellales sp. Tagirdzhanova-0007,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Tremellales
Tribolium madens,Inf,2727444,1,0,Inf,0,Inf,Absent,Absent,None,Tribolium
Tricharina praecox,547119,67486,2,0,1266446,0,1090010,Absent,Absent,None,Tricharina
Trichechus manatus latirostris,Inf,3959,1,0,Inf,2,10668,Absent,Present,PWWP,Trichechus
Trichinella britovi,Inf,Inf,3,0,Inf,0,Inf,Absent,Absent,None,Trichinella
Trichinella nativa,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Trichinella
Trichinella nelsoni,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Trichinella
Trichinella papuae,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Trichinella
Trichinella patagoniensis,Inf,276101,1,0,Inf,0,Inf,Absent,Absent,None,Trichinella
