GC protein
GCA_004917555.1 THY79904.1
GCA_004918275.1 THZ65646.1
GCA_004918245.1 TIA17218.1
GCA_004917495.1 THY33773.1
GCA_004917205.1 THW57463.1
GCA_015251385.1 KAG2165600.1
GCA_004917375.1 THX25544.1
GCA_004917445.1 THX99285.1
GCA_004918115.1 THZ87456.1
GCA_004917185.1 THW48654.1
GCA_004917335.1 THW96735.1
GCA_004917815.1 THZ45508.1
GCA_004917255.1 THW53402.1
GCA_004917615.1 THX50249.1
GCA_004917435.1 THX83132.1
GCA_004917165.1 THW24520.1
GCA_004917755.1 THZ21987.1
GCA_004917825.1 TIA30433.1
GCA_004918145.1 TIA03698.1
GCA_004918195.1 TIA59677.1
GCA_004917385.1 THX44767.1
GCA_004917625.1 THY20857.1
GCA_004918165.1 TIA26248.1
GCA_004917425.1 THX76394.1
GCA_004917665.1 THY59632.1
GCA_004918105.1 THZ66014.1
GCA_004917275.1 THW70955.1
GCA_004917485.1 THY21793.1
GCA_004917135.1 THW20050.1
GCA_004917105.1 THV70470.1
GCA_004917525.1 THY63869.1
GCA_004917725.1 THZ18395.1
GCA_004918505.1 TIA83010.1
GCA_004918575.1 TIA44410.1
GCA_004917505.1 THY59728.1
GCA_004917145.1 THV84824.1
GCA_004917795.1 THY93446.1
GCA_004917605.1 THX63460.1
GCA_004917745.1 THZ36147.1
GCA_004917705.1 THY99187.1
GCA_004917225.1 THW04083.1
GCA_004917415.1 THX83993.1
GCA_004917305.1 THX07301.1
GCA_004918215.1 TIA00111.1
GCA_004917595.1 THX13574.1
GCA_004917685.1 THZ05020.1
GCA_004917155.1 THV98900.1
GCA_004917115.1 THW26360.1
GCA_016618375.1 KAG1703053.1
GCA_016772295.1 KAG2008441.1
GCA_000300555.1 EKM76737.1
GCA_000448365.1 EQK99255.1
GCA_019511825.2 KAH6811229.1
GCA_019511825.2 KAH6813900.1
GCA_002920065.1 POW09888.1
GCA_002920205.1 POW21380.1
GCA_025869495.1 KAI9619981.1
GCA_025869475.1 KAI9629498.1
GCA_001191645.1 KNE96256.1
GCA_001191645.1 KNE96275.1
GCA_014108255.1 KAF6321470.1
GCA_022117675.1 KAH9639495.1
GCA_015679615.1 KAF9416391.1
GCA_905071925.1 CAD7005456.1
GCA_905071925.1 CAD7005455.1
GCA_004120215.1 RXN09453.1
GCA_000763605.2 KAF3963389.1
GCA_014462685.1 KAF7274158.1
GCA_003112345.1 PWA96876.1
GCA_003112345.1 PWA65080.1
GCA_003112345.1 PWA54456.1
GCA_004768765.1 TGJ65874.1
GCA_028827855.1 KAJ5498130.1
GCA_003675555.2 KAF5209384.1
GCA_011066845.1 KAF3286157.1
GCA_000769735.1 KGO45101.1
GCA_011068445.1 KAF3314629.1
GCA_011067015.1 KAF3289236.1
GCA_011066795.1 KAF3190465.1
GCA_011066715.1 KAF3172393.1
GCA_011066735.1 KAF3234158.1
GCA_011066745.1 KAF3257917.1
GCA_011066875.1 KAF3159922.1
GCA_011066575.1 KAF3078143.1
GCA_011066985.1 KAF3230954.1
GCA_011066905.1 KAF3198476.1
GCA_011066565.1 KAF3147528.1
GCA_011066585.1 KAF3081682.1
GCA_011066605.1 KAF3092328.1
GCA_011066595.1 KAF3133358.1
GCA_011066695.1 KAF3119736.1
GCA_011066925.1 KAF3228156.1
GCA_011066885.1 KAF3198068.1
GCA_000769755.1 KGO69888.1
GCA_023508785.1 KAI5824717.1
GCA_023508725.1 KAI4525062.1
GCA_024703135.1 KAI6055661.1
GCA_014533835.1 KAF7480810.1
GCA_014533835.1 KAF7480811.1
GCA_901343595.1 VTJ91061.1
GCA_901343595.1 VTJ66648.1
GCA_901343595.1 VTJ66650.1
GCA_002763495.2 THD27253.1
GCA_013390205.1 KAF5490739.1
GCA_012932255.1 KAF4433889.1
GCA_013201925.1 KAF4941437.1
GCA_013201905.1 KAF4907760.1
GCA_013201875.1 KAF4898500.1
GCA_015484515.1 KAF9500680.1
GCA_019207595.1 KAG7864820.1
GCA_019207695.1 KAG7873324.1
GCA_000319635.2 KAF4479375.1
GCA_002111425.1 KAF9634790.1
GCA_008931885.1 KAB2574185.1
GCA_027725215.1 KAJ3622912.1
GCA_006542485.1 TQB72081.1
GCA_000722935.2 KHN43463.1
GCA_000722935.2 KHN19219.1
GCA_014282415.3 KAH0815680.1
GCA_017309895.1 KAG4291282.1
GCA_020744275.1 KAH7058659.1
GCA_900029915.1 CVK98983.1
GCA_003615215.1 RKL32155.1
GCA_000739145.1 KFG85354.1
GCA_009176385.1 KAB8203167.1
GCA_019434415.1 KAG8413326.1
GCA_019434395.1 KAG8416003.1
GCA_017607465.1 KAG5287761.1
GCA_000235995.2 OWR45116.1
GCA_000235995.2 OWR41017.1
GCA_000002825.3 EAY10500.1
GCA_000151005.2 EGC41141.1
GCA_000302655.1 EKG21378.1
GCA_000956085.1 KJK66857.1
GCA_000814975.1 KID63944.1
GCA_000426985.1 KJK88099.1
GCA_000426965.1 KJK78374.1
GCA_000151035.1 EER45186.1
GCA_000151035.1 EER45185.1
GCA_949352195.2 CAI9192071.1
GCA_025402995.1 KAI8506074.1
GCA_020800235.1 KAH7504786.1
GCA_020800235.1 KAH7504785.1
GCA_000211455.3 ETN62362.1
GCA_020004485.1 KAH0514295.1
GCA_020466635.2 KAH1005956.1
GCA_009445465.1 MQL93602.1
GCA_000346045.2 ERL84752.1
GCA_026401375.1 KAJ0411531.1
GCA_026401395.1 KAJ0408500.1
GCA_000583005.2 PNY06833.1
GCA_024704025.1 KAI6293379.1
GCA_024704135.1 KAI6377883.1
GCA_022343315.1 KAH9863114.1
GCA_012295545.2 KAG0153138.1
GCA_000315665.1 EKV17171.1
GCA_000151525.2 OAV92014.1
GCA_024605085.1 KAI5948309.1
GCA_023344035.1 KAI3425464.1
GCA_016864655.1 KAG2763252.1
GCA_016864655.1 KAG2763251.1
GCA_001717485.1 ODM23782.1
GCA_016865085.1 KAG3204420.1
GCA_016865085.1 KAG3204421.1
GCA_016865075.1 KAG3192070.1
GCA_016864695.1 KAG2868325.1
GCA_016864695.1 KAG2868326.1
GCA_016864665.1 KAG2847204.1
GCA_016864665.1 KAG2847205.1
GCA_016864815.1 KAG2999313.1
GCA_016864835.1 KAG3041552.1
GCA_016864835.1 KAG3041551.1
GCA_016864755.1 KAG2933272.1
GCA_016864755.1 KAG2933271.1
GCA_016864855.1 KAG3104978.1
GCA_016864855.1 KAG3104977.1
GCA_016864715.1 KAG2954568.1
GCA_016864715.1 KAG2954567.1
GCA_016864775.1 KAG3100810.1
GCA_016864775.1 KAG3100811.1
GCA_016864735.1 KAG2943358.1
GCA_016864735.1 KAG2943359.1
GCA_016864635.1 KAG2847954.1
GCA_016864635.1 KAG2847955.1
GCA_016906365.1 KAG4063890.1
GCA_016906365.1 KAG4063889.1
GCA_016864795.1 KAG3035595.1
GCA_016864795.1 KAG3035596.1
GCA_016865055.1 KAG3229199.1
GCA_016865055.1 KAG3229200.1
GCA_006461475.1 TPP64507.1
GCA_018873755.1 KAG6974897.1
GCA_003287315.1 RAW41891.1
GCA_029704095.1 KAJ8324765.1
GCA_029704095.1 KAJ8325513.1
GCA_029704095.1 KAJ8325512.1
GCA_000149865.1 OAJ40306.1
GCA_000401635.1 EPB93010.1
GCA_001298345.1 KPI94258.1
GCA_905397895.1 CAG2234269.1
GCA_905397895.1 CAG2229287.1
GCA_905397895.1 CAG2229286.1
GCA_905397895.1 CAG2235293.1
GCA_905397895.1 CAG2234270.1
GCA_905397895.1 CAG2235294.1
GCA_905397895.1 CAG2235292.1
GCA_009805615.1 KAF0310403.1
GCA_000209535.1 CBY23144.1
GCA_011801645.2 KAG1065027.1
GCA_011801035.2 KAG1028508.1
GCA_011801605.2 KAG0833806.1
GCA_011952175.2 KAG0981457.1
GCA_011801575.2 KAG0867073.1
GCA_011801495.1 KAG0854248.1
GCA_011800955.2 KAG1008077.1
GCA_011950945.2 KAG1096053.1
GCA_011800985.2 KAG0990250.1
GCA_011801505.2 KAG0828511.1
GCA_011952145.2 KAG0934359.1
GCA_011801555.2 KAG0879804.1
GCA_011801305.2 KAG0808678.1
GCA_011801055.2 KAG1044772.1
GCA_011763935.1 KAG1140419.1
GCA_011950985.2 KAG0893524.1
GCA_011951285.2 KAG0907821.1
GCA_011763955.1 KAG1154979.1
GCA_011801725.2 KAG1397531.1
GCA_011801385.2 KAG0785553.1
GCA_011763875.1 KAG1631518.1
GCA_011801675.2 KAG1375506.1
GCA_011801815.2 KAG1339378.1
GCA_011764025.1 KAG1304972.1
GCA_011763775.1 KAG1552599.1
GCA_011951295.2 KAG1109047.1
GCA_011801785.2 KAG1290455.1
GCA_011952045.2 KAG0950280.1
GCA_011801335.2 KAG0759804.1
GCA_011801705.2 KAG1418518.1
GCA_011952115.2 KAG0963760.1
GCA_011763975.1 KAG1186756.1
GCA_011764185.1 KAG1476048.1
GCA_011763995.1 KAG0745597.1
GCA_011764125.1 KAG1349746.1
GCA_011764225.1 KAG0793914.1
GCA_011764265.1 KAG1237127.1
GCA_027923925.1 GLB18551.1
GCA_027923885.1 GLA82311.1
GCA_027923685.1 GLB03158.1
GCA_027923605.1 GLA56834.1
GCA_027923625.1 GLA75388.1
GCA_027923665.1 GLA97107.1
GCA_001602395.1 GAT25723.1
GCA_002083735.1 ORE21695.1
GCA_011763475.1 KAG1212044.1
GCA_011762625.1 KAG1195943.1
GCA_011762635.1 KAG1173853.1
GCA_011763565.1 KAG1232318.1
GCA_019788775.1 KAG9326856.1
GCA_015680655.1 KAF9573510.1
GCA_015847185.1 KAF9943127.1
GCA_015849285.1 KAF9952774.1
GCA_015679415.1 KAF9286408.1
GCA_015849305.1 KAF9966318.1
GCA_902155815.1 VUG19040.1
GCA_014176175.1 KAF6005862.1
GCA_000239835.2 GAA82773.1
GCA_000170175.2 EFW17840.1
GCA_000259595.1 EIF48508.1
GCA_001890745.1 OJI81312.1
GCA_001890685.1 OJZ87332.1
GCA_000935105.1 KJE05693.1
GCA_000150055.1 KMM68531.1
GCA_000344635.1 PCH35419.1
GCA_002083745.1 ORE10393.1
GCA_023168115.2 GJN86195.1
GCA_011392495.1 KAF3396577.1
GCA_021029045.1 KAH8064935.1
GCA_001605315.2 RDB29773.1
GCA_021029115.1 KAH8091212.1
GCA_021029035.1 KAH8068077.1
GCA_009805475.2 KAI7971450.1
GCA_003144605.1 PWI65594.1
GCA_001653205.1 OAQ77747.1
GCA_024341865.1 GJD06879.1
GCA_024341865.1 GJD06275.1
GCA_013396795.1 NXG35990.1
GCA_021535285.1 KAH9199948.1
GCA_028027665.1 KAJ4593225.1
GCA_028028305.1 KAJ4579929.1
GCA_028028135.1 KAJ4592398.1
GCA_028025245.1 KAJ4512440.1
GCA_030028025.1 KAJ8989648.1
GCA_030028025.1 KAJ8989649.1
GCA_028024475.1 KAJ4509725.1
GCA_028024505.1 KAJ4512685.1
GCA_028028335.1 KAJ4578447.1
GCA_028028335.1 KAJ4578448.1
GCA_028025565.1 KAJ4671105.1
GCA_028026935.1 KAJ4639490.1
GCA_028024125.1 KAJ4542488.1
GCA_028024125.1 KAJ4542489.1
GCA_028028245.1 KAJ4570287.1
GCA_028028245.1 KAJ4570288.1
GCA_028027615.1 KAJ4611312.1
GCA_028027615.1 KAJ4611313.1
GCA_028025295.1 KAJ4676862.1
GCA_028023995.1 KAJ4546582.1
GCA_028026005.1 KAJ4670432.1
GCA_028027435.1 KAJ4631593.1
GCA_030028065.1 KAJ9000554.1
GCA_030028065.1 KAJ9000555.1
GCA_028026235.1 KAJ4654421.1
GCA_028026945.1 KAJ4692393.1
GCA_028026945.1 KAJ4692392.1
GCA_028024355.1 KAJ4548178.1
GCA_028024355.1 KAJ4548177.1
GCA_028027445.1 KAJ4621885.1
GCA_028027445.1 KAJ4621884.1
GCA_030060715.1 KAJ9201726.1
GCA_030061565.1 KAJ9296095.1
GCA_030061365.1 KAJ9265712.1
GCA_030061555.1 KAJ9306217.1
GCA_030061575.1 KAJ9315501.1
GCA_030061845.1 KAJ9363487.1
GCA_030061375.1 KAJ9276086.1
GCA_902085965.1 VUC28492.1
GCA_030062325.1 KAJ9406720.1
GCA_030061005.1 KAJ9245750.1
GCA_030061875.1 KAJ9360379.1
GCA_030062345.1 KAJ9380031.1
GCA_030061595.1 KAJ9320379.1
GCA_030062295.1 KAJ9388824.1
GCA_030062335.1 KAJ9401944.1
GCA_030061385.1 KAJ9289466.1
GCA_030061585.1 KAJ9337743.1
GCA_030061015.1 KAJ9224813.1
GCA_030060985.1 KAJ9247699.1
GCA_030060995.1 KAJ9234674.1
GCA_030061855.1 KAJ9338326.1
GCA_030061835.1 KAJ9374021.1
GCA_030060685.1 KAJ9202298.1
GCA_028026245.1 KAJ4649531.1
GCA_030061355.1 KAJ9255983.1
GCA_030060675.1 KAJ9216400.1
GCA_001972345.1 GAV47492.1
GCA_001972345.1 GAV52505.1
GCA_000350365.1 EMT72874.1
GCA_002140095.1 OTN67122.1
GCA_005223365.2 KAF0912949.1
GCA_900004885.2 SBO21743.1
GCA_900005025.2 SBO22135.1
GCA_003016335.1 PSN60696.1
GCA_902827195.2 CAG9943002.1
GCA_016906325.1 KAG4031276.1
GCA_016906325.1 KAG4031275.1
GCA_003076615.3 KAH9424362.1
GCA_011752425.2 CAC5386038.1
GCA_011752425.2 CAC5386037.1
GCA_011752425.2 CAC5386036.1
GCA_011752425.2 CAC5386039.1
GCA_002158475.1 OUS48423.1
GCA_000236345.1 GAA30349.2
GCA_000236345.1 GAA50639.1
GCA_001445595.3 GAW25492.1
GCA_000769765.1 KGO75685.1
GCA_019364655.1 KAG8292575.1
GCA_001049375.1 CEO96756.1
GCA_003709365.1 RMZ54236.1
GCA_900618405.1 VDL78920.1
GCA_001005745.2 KPP76204.1
GCA_019924415.1 KAG9957905.1
GCA_019925035.1 KAH0348768.1
GCA_019923975.1 KAG9512632.1
GCA_019924425.1 KAG9944516.1
GCA_019925005.1 KAH0341526.1
GCA_019924175.1 KAG9670376.1
GCA_019924015.1 KAG9520398.1
GCA_019924835.1 KAH0229581.1
GCA_019924265.1 KAG9774200.1
GCA_019924725.1 KAH0186159.1
GCA_019924715.1 KAH0197488.1
GCA_019924815.1 KAH0241431.1
GCA_019924825.1 KAH0214591.1
GCA_019925085.1 KAH0378006.1
GCA_019924995.1 KAH0315995.1
GCA_019924995.1 KAH0328989.1
GCA_019924255.1 KAG9797288.1
GCA_019924255.1 KAG9791965.1
GCA_019924195.1 KAG9694522.1
GCA_019924195.1 KAG9687170.1
GCA_019924895.1 KAH0267837.1
GCA_019924895.1 KAH0269190.1
GCA_019924875.1 KAH0306259.1
GCA_019924875.1 KAH0279026.1
GCA_019924185.1 KAG9660526.1
GCA_019924185.1 KAG9621325.1
GCA_019924185.1 KAG9638783.1
GCA_019924355.1 KAG9817871.1
GCA_019924355.1 KAG9817883.1
GCA_019924535.1 KAG9942304.1
GCA_019924535.1 KAG9942320.1
GCA_019924465.1 KAG9888599.1
GCA_019924465.1 KAG9888615.1
GCA_019924025.1 KAG9559166.1
GCA_019924025.1 KAG9562771.1
GCA_019924555.1 KAH0013797.1
GCA_019924555.1 KAH0018268.1
GCA_019924485.1 KAG9884097.1
GCA_019924485.1 KAG9884106.1
GCA_019925775.1 KAH0410215.1
GCA_019925775.1 KAH0410195.1
GCA_019924615.1 KAH0005425.1
GCA_019924615.1 KAH0005370.1
GCA_019924435.1 KAG9899044.1
GCA_019924435.1 KAG9898952.1
GCA_019924275.1 KAG9739064.1
GCA_019924275.1 KAG9738983.1
GCA_019924735.1 KAH0173782.1
GCA_019924735.1 KAH0162918.1
GCA_019924735.1 KAH0139237.1
GCA_019924755.1 KAH0140792.1
GCA_019924755.1 KAH0140779.1
GCA_019924575.1 KAH0020513.1
GCA_019924575.1 KAH0020480.1
GCA_019924905.1 KAH0298077.1
GCA_019924905.1 KAH0298024.1
GCA_019924135.1 KAG9573054.1
GCA_019924135.1 KAG9573029.1
GCA_019924395.1 KAG9824973.1
GCA_019924395.1 KAG9824917.1
GCA_019924655.1 KAH0080429.1
GCA_019924655.1 KAH0080364.1
GCA_019924155.1 KAG9654458.1
GCA_019924155.1 KAG9654378.1
GCA_019924215.1 KAG9630271.1
GCA_019924215.1 KAG9611488.1
GCA_019924675.1 KAH0071611.1
GCA_019924675.1 KAH0071582.1
GCA_019924695.1 KAH0095701.1
GCA_019924695.1 KAH0095632.1
GCA_019924375.1 KAG9822081.1
GCA_019924375.1 KAG9822047.1
GCA_019924315.1 KAG9723780.1
GCA_019924315.1 KAG9723737.1
GCA_019924115.1 KAG9570681.1
GCA_019924115.1 KAG9570583.1
GCA_019924295.1 KAG9758107.1
GCA_019924775.1 KAH0158856.1
GCA_019925215.1 KAH0398912.1
GCA_004920355.1 TIC91128.1
GCA_023705605.1 GJD04960.1
GCA_900237765.1 SZE99326.1
GCA_028856445.1 KAJ6196589.1
GCA_028751825.1 KAJ5064263.1
GCA_000313795.2 CCF46204.1
GCA_000313795.2 CCF47445.1
GCA_011763755.1 KAG1594524.1
GCA_011763795.1 KAG1562511.1
GCA_011763835.1 KAG1604682.1
GCA_011763855.1 KAG1642550.1
GCA_011763915.1 KAG1053045.1
GCA_011763715.1 KAG1516431.1
GCA_011763695.1 KAG1502055.1
GCA_011763895.1 KAG1622777.1
GCA_011763585.1 KAG1461160.1
GCA_011763815.1 KAG1573955.1
GCA_011764145.1 KAG1415774.1
GCA_011763735.1 KAG1527520.1
GCA_011763605.1 KAG1456250.1
GCA_008522505.1 KAA1108390.1
GCA_008522505.1 KAA1094106.1
GCA_008520325.1 KAA1083414.1
GCA_008520325.1 KAA1138655.1
GCA_008520325.1 KAA1138656.1
GCA_004115165.2 TPX22148.1
GCA_000299215.2 EKD04409.1
GCA_001691835.3 KAF8652371.1
GCA_000151065.3 CCU74539.1
GCA_000149815.1 KMU86751.1
GCA_000150085.1 KMU73332.1
GCA_024244205.1 KAI5125191.1
GCA_029890035.1 KAJ8781154.1
GCA_014595675.1 KAF7493607.1
GCA_910393935.1 CAG7563331.1
GCA_027945365.1 KAJ4129292.1
GCA_002081675.1 OQS54569.1
GCA_007646595.3 MXQ96096.1
GCA_013305595.1 KAF5113423.1
GCA_013365125.1 KAF5098055.1
GCA_013305805.1 KAF5098877.1
GCA_013365065.1 KAF5131877.1
GCA_025234805.1 KAI8134750.1
GCA_014596635.1 KAF7501237.1
GCA_013365075.1 KAF5118095.1
GCA_900002365.1 CDR88581.1
GCA_009769425.1 KAE9975597.1
GCA_009769405.1 KAE9980685.1
GCA_009769445.1 KAE9966124.1
GCA_905250105.1 CAF0830983.1
GCA_003710015.1 RNA39510.1
GCA_000828355.1 KPM06281.1
GCA_002738545.1 MBV95489.1
GCA_023138355.1 KAI3111187.1
GCA_023065495.1 KAI2712404.1
GCA_023141145.1 KAI3163871.1
GCA_023065415.1 KAI2676815.1
GCA_023141275.1 KAI3224668.1
GCA_023065595.1 KAI2708519.1
GCA_023138445.1 KAI3126137.1
GCA_023138675.1 KAI3159922.1
GCA_023141305.1 KAI3229548.1
GCA_023065375.1 KAI2683689.1
GCA_023138615.1 KAI3130388.1
GCA_023137995.1 KAI3064821.1
GCA_023141165.1 KAI3221822.1
GCA_023141315.1 KAI3263553.1
GCA_023141355.1 KAI3254153.1
GCA_023091085.1 KAI2703134.1
GCA_023141115.1 KAI3179091.1
GCA_023065655.1 KAI2761657.1
GCA_022829115.1 KAI1834976.1
GCA_023138645.1 KAI3149416.1
GCA_023141155.1 KAI3167257.1
GCA_023065685.1 KAI2734838.1
GCA_023141515.1 KAI3289594.1
GCA_023141205.1 KAI3191099.1
GCA_023138015.1 KAI3107259.1
GCA_023065465.1 KAI2725411.1
GCA_023141395.1 KAI3287881.1
GCA_023141195.1 KAI3210830.1
GCA_023141385.1 KAI3267033.1
GCA_023141235.1 KAI3239874.1
GCA_023065525.1 KAI2740208.1
GCA_023138005.1 KAI3091266.1
GCA_004919615.1 KAF5140109.1
GCA_013399815.1 NXW79941.1
GCA_000333975.2 CCJ29107.1
GCA_000333975.2 CCJ29106.1
GCA_023065625.1 KAI2766531.1
GCA_003370565.1 RDY14373.1
GCA_029747605.1 KAJ8577089.1
GCA_008692205.1 KAA8614470.1
GCA_001483515.1 PPS95358.1
GCA_001593465.1 OLQ18389.1
GCA_900162805.1 SJM82212.1
GCA_001593475.1 PPA65406.1
GCA_008692325.1 KAA8636099.1
GCA_022544805.1 KAI0580870.1
GCA_003171545.1 PWO27630.1
GCA_022578395.1 KAI0622588.1
GCA_022578365.1 KAI0610527.1
GCA_022544795.1 KAI0584380.1
GCA_022788415.1 KAI1542970.1
GCA_022788435.1 KAI1574384.1
GCA_022788425.1 KAI1554996.1
GCA_022788405.1 KAI1574409.1
GCA_022788505.1 KAI1592516.1
GCA_022788515.1 KAI1604844.1
GCA_022788445.1 KAI1546293.1
GCA_003231345.1 PZD41695.1
GCA_003231365.1 PZD29885.1
GCA_003231355.1 PZC97600.1
GCA_020726465.1 KAH6623466.1
GCA_009728675.1 KAE8824541.1
GCA_009728665.1 KAE8858143.1
GCA_009728645.1 KAE8835242.1
GCA_009728635.1 KAE8832022.1
GCA_009728655.1 KAE8862019.1
GCA_000166005.1 EFQ91520.1
GCA_000813385.1 KUI59669.1
GCA_012184645.1 KAF3991457.1
GCA_012184655.1 KAF3994568.1
GCA_003692655.1 RMB93730.1
GCA_001638945.1 OAD06817.1
GCA_900231935.2 CAA9965203.1
GCA_000875795.1 KIR75213.1
GCA_000836375.1 KIR43881.1
GCA_000835815.1 KIR98204.1
GCA_000875855.1 KIR37413.1
GCA_000835765.1 KIR92882.1
GCA_000836455.1 KIY60277.1
GCA_000836315.1 KIR30000.1
GCA_000513255.1 CDM26664.1
GCA_011057915.1 KAF2985530.1
GCA_014904895.1 KAF8235014.1
GCA_000469055.2 MBW0479747.1
GCA_012979565.1 KAF4564531.1
GCA_000769215.1 KIL85809.1
GCA_001983305.1 ONH64986.1
GCA_018282135.1 KAG5655451.1
GCA_019207515.1 KAG7835324.1
GCA_019207615.1 KAG7848632.1
GCA_019207635.1 KAG7860574.1
GCA_019207505.1 KAG7831103.1
GCA_019207585.1 KAG7861590.1
GCA_019207455.1 KAG7811547.1
GCA_019207525.1 KAG7840250.1
GCA_019207555.1 KAG7824104.1
GCA_019207605.1 KAG7850158.1
GCA_015473125.1 GHP08362.1
GCA_022606095.1 KAI0743194.1
GCA_022606095.1 KAI0761142.1
GCA_022814895.1 KAI1732139.1
GCA_002008025.1 OWB50155.1
GCA_002008015.1 OWB81455.1
GCA_002007985.1 OUM51990.1
GCA_001447595.1 KRY27828.1
GCA_001447595.1 KRY27829.1
GCA_002008075.1 OWB64893.1
GCA_002008085.1 OWB76203.1
GCA_002008065.1 OWB62434.1
GCA_002008095.1 OWB73910.1
GCA_002007995.1 OWB56327.1
GCA_027925865.1 DAZ96388.1
GCA_027925865.1 DBA00264.1
GCA_900618355.1 VDN93712.1
GCA_900618005.1 VDK33025.1
GCA_003205855.1 CDR47479.1
GCA_029606385.1 KAJ8140392.1
GCA_029606385.1 KAJ8135372.1
GCA_004119895.1 RXN01763.1
GCA_004119895.1 RXM34424.1
GCA_006013705.1 TMW92306.1
GCA_001645005.2 KAE8256469.1
GCA_905068135.1 CAD6888886.1
GCA_905072865.1 CAD7066328.1
GCA_905071745.1 CAD6936979.1
GCA_905071735.1 CAD6901350.1
GCA_030267585.1 GME69058.1
GCA_030267585.1 GME76675.1
GCA_030267665.1 GMG13866.1
GCA_030267665.1 GMG20151.1
GCA_030267685.1 GME92953.1
GCA_030267845.1 GME72822.1
GCA_000945115.1 CDS03812.1
GCA_030142165.1 KAJ9477834.1
GCA_019207725.1 KAG7891427.1
GCA_019208005.1 KAG7928071.1
GCA_020536115.1 KAH3663280.1
GCA_019207815.1 KAG7911275.1
GCA_019207965.1 KAG7902737.1
GCA_019207715.1 KAG7894780.1
GCA_019207825.1 KAG7919507.1
GCA_019207735.1 KAG7882489.1
GCA_019207905.1 KAG7923865.1
GCA_019207835.1 KAG7912892.1
GCA_019208045.1 KAG7936936.1
GCA_001747055.1 OEJ82706.1
GCA_009805765.1 KAF0272060.1
GCA_009805715.1 KAF0268501.1
GCA_019721275.1 KAG9205584.1
GCA_009805785.1 KAF0275270.1
GCA_000509465.1 ETK77910.1
GCA_000509465.1 ETK95141.1
GCA_000509525.1 ETM37702.1
GCA_000509525.1 ETM54833.1
GCA_000509505.1 ETL84562.1
GCA_000509505.1 ETM02090.1
GCA_000509485.1 ETL31343.1
GCA_000509485.1 ETL48537.1
GCA_003325415.1 RCH96872.1
GCA_003325415.1 RCH89128.1
GCA_027595865.1 KAJ2962568.1
GCA_020569285.1 KAH4208109.1
GCA_020573595.1 KAH5055017.1
GCA_020578205.1 KAH6007742.1
GCA_020578315.1 KAH6019460.1
GCA_020578265.1 KAH6019025.1
GCA_020578075.1 KAH5946526.1
GCA_020576195.1 KAH5776359.1
GCA_020577795.1 KAH5802318.1
GCA_020569235.1 KAH4188403.1
GCA_020578085.1 KAH5903703.1
GCA_020571895.1 KAH4723893.1
GCA_020557385.1 KAH3910871.1
GCA_020577905.1 KAH5859859.1
GCA_020579815.1 KAH6151590.1
GCA_020580155.1 KAH6307542.1
GCA_020577805.1 KAH5831273.1
GCA_020574145.1 KAH5236501.1
GCA_020574055.1 KAH5206191.1
GCA_020574265.1 KAH5269312.1
GCA_020570045.1 KAH4376061.1
GCA_020580905.1 KAH6474015.1
GCA_020568765.1 KAH4099203.1
GCA_020577915.1 KAH5868373.1
GCA_020575615.1 KAH5635753.1
GCA_020574405.1 KAH5386026.1
GCA_020574825.1 KAH5461913.1
GCA_020576365.1 KAH5817905.1
GCA_020572345.1 KAH4826120.1
GCA_020578095.1 KAH5981816.1
GCA_020574085.1 KAH5201777.1
GCA_020578295.1 KAH6041775.1
GCA_020575405.1 KAH5605793.1
GCA_020569895.1 KAH4297728.1
GCA_020569145.1 KAH4166027.1
GCA_020574155.1 KAH5280312.1
GCA_020568935.1 KAH4135978.1
GCA_020574345.1 KAH5329256.1
GCA_020581275.1 KAH6545548.1
GCA_020578105.1 KAH5958582.1
GCA_020578115.1 KAH5967954.1
GCA_020569485.1 KAH4229104.1
GCA_020573725.1 KAH5125216.1
GCA_020573325.1 KAH5043505.1
GCA_020578375.1 KAH6062847.1
GCA_020568465.1 KAH4061086.1
GCA_020568945.1 KAH4156923.1
GCA_020580725.1 KAH6414483.1
GCA_020570935.1 KAH4577946.1
GCA_020574715.1 KAH5437839.1
GCA_020577855.1 KAH5909070.1
GCA_020572945.1 KAH4902435.1
GCA_020570415.1 KAH4468252.1
GCA_020580085.1 KAH6274928.1
GCA_020570685.1 KAH4492459.1
GCA_020581045.1 KAH6551276.1
GCA_020572315.1 KAH4782960.1
GCA_020569685.1 KAH4308798.1
GCA_020572075.1 KAH4746250.1
GCA_020573605.1 KAH5075349.1
GCA_020573275.1 KAH5027652.1
GCA_020579835.1 KAH6190004.1
GCA_020575485.1 KAH5659939.1
GCA_020574295.1 KAH5269814.1
GCA_020571965.1 KAH4765606.1
GCA_020571545.1 KAH4632999.1
GCA_020574375.1 KAH5339140.1
GCA_020574725.1 KAH5430001.1
GCA_020569515.1 KAH4273796.1
GCA_020570735.1 KAH4521547.1
GCA_020571295.1 KAH4607905.1
GCA_020575355.1 KAH5593808.1
GCA_020572635.1 KAH4888131.1
GCA_020579825.1 KAH6169891.1
GCA_020574595.1 KAH5371682.1
GCA_020576185.1 KAH5784417.1
GCA_020570405.1 KAH4421707.1
GCA_020580075.1 KAH6226770.1
GCA_020574115.1 KAH5191407.1
GCA_020570975.1 KAH4566228.1
GCA_020567955.1 KAH3928057.1
GCA_020575645.1 KAH5704825.1
GCA_020568635.1 KAH4072648.1
