Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCA_002591405.1	OphauG2	Ophiocordyceps australis		1348a					Annotation submitted by Utrecht University	22189873	Scaffold	10/18/17	NJEU01	14290	17422							Illumina MiSeq	Utrecht University	PRJNA388689	SAMN07142924	7992	7992		
GCA_905332295.1	Rw_RSIL801_maxhap_genomic_v1	Rotaria sp. Silwood1							Annotation submitted by IMPERIAL COLLEGE LONDON	278088189	Scaffold	3/21/21	CAJOBT01	14160	14252								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117373	47030	47030		
GCA_905332305.1	Rw_RSIL802_maxhap_genomic_v1	Rotaria sp. Silwood1							Annotation submitted by IMPERIAL COLLEGE LONDON	265824198	Scaffold	3/20/21	CAJOBU01	14120	14242								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117374	46049	46049		
GCA_027627305.1	Fusarium_decemcellulare_reassembly_enz	Fusarium decemcellulare		Babe19					Annotation submitted by TU Dresden - IHI Zittau	50541515	Scaffold	1/10/23	JANRMS01	12933	13093							IonTorrent	TU Dresden - IHI Zittau	PRJNA858405	SAMN29714644	17201	17201		
GCA_905332175.1	Rp_RPSE503_maxhap_genomic_v1	Rotaria sp. Silwood2							Annotation submitted by IMPERIAL COLLEGE LONDON	296443115	Scaffold	3/21/21	CAJOBL01	12800	12982								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117370	53244	53244		
GCA_003260695.2	B_cretica_D_v2	Brassica cretica					PFS-102/07		Annotation submitted by University of Exeter	202548557	Scaffold	2/21/20	QGKY02	12730	21937562							Illumina HiSeq	University of Exeter	PRJNA470925	SAMN09112369	44861	44861		
GCA_958305575.1	cclaro-a-1n	Entrophospora sp. SA101		SA101					Annotation submitted by Uppsala University	92378041	Scaffold	7/15/23	CATQXP01	12714	37258							"Illumina HiSeq X, Oxford Nanopore (MinION)"	Uppsala University	PRJNA528883	SAMEA114006458	16680	16680		
GCA_958430815.1	cclaro-a-1	Entrophospora sp. SA101		SA101					Annotation submitted by Uppsala University	90157169	Contig	7/18/23	CAUDLV01	12714								Illumina HiSeq X	Uppsala University	PRJNA528883	SAMEA114006457	18085	18085		
GCA_911175235.1	Pnal_ESE00262	Penicillium nalgiovense							Annotation submitted by University Paris-Sud	29365678	Scaffold	9/22/22	CAJVOX01	11882	18328								University Paris-Sud	PRJEB44534	SAMEA8618079	10765	10529		132
GCA_905332185.1	Rp_RPSE809_maxhap_genomic_v1	Rotaria sp. Silwood2							Annotation submitted by IMPERIAL COLLEGE LONDON	295055522	Scaffold	3/21/21	CAJOBM01	11644	11896								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117371	57469	57469		
GCA_900088555.1	Poc1	Plasmodium ovale curtisi							Annotation submitted by KAUST	34518662	Scaffold	6/16/16	FLQV01	11580	17984								KAUST	PRJEB12678	SAMEA3867549	7949	7776	173	
GCA_001970865.1	ASM197086v1	Smittium culicis		ID-206-W2					Annotation submitted by University of Toronto	71049901	Scaffold	1/25/17	LSSM01	11417	15233							Illumina HiSeq	University of Toronto	PRJNA311769	SAMN04489870	11593	11260	333	
GCA_905332225.1	Rp_RPSE812_maxhap_genomic_v1	Rotaria sp. Silwood2							Annotation submitted by IMPERIAL COLLEGE LONDON	274095585	Scaffold	3/20/21	CAJOBN01	10836	11013								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117372	52347	52347		
GCA_946475005.1	fwild_b	Funneliformis geosporum		wild B					Annotation submitted by UPPSALA UNIVERISTY	132883342	Contig	9/12/22	CAMKVO01	10159									UPPSALA UNIVERISTY	PRJEB55531	SAMEA110694743	20732	20732		
GCA_905332275.1	Rs_AK27_maxhap_genomic_v1	Rotaria socialis							Annotation submitted by IMPERIAL COLLEGE LONDON	174466970	Scaffold	3/20/21	CAJOBR01	10093	13002								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117380	49012	49012		
GCA_905332065.1	Dc_DCAR706_maxhap_genomic_v1	Didymodactylos carnosus							Annotation submitted by IMPERIAL COLLEGE LONDON	401585883	Scaffold	5/19/21	CAJOBC01	10036	10523								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117360	51520	51520		
GCA_030553475.1	ASM3055347v1	Friedmanniomyces endolithicus		CCFEE 6464					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	41880500	Contig	7/31/23	JAUJLH01	9320								Illumina MiSeq	Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	PRJNA666634	SAMN23564169	19389	19297		92
GCA_905332325.1	Rw_RSIL804_maxhap_genomic_v1	Rotaria sp. Silwood1							Annotation submitted by IMPERIAL COLLEGE LONDON	275703496	Scaffold	3/21/21	CAJOBW01	8767	8933								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117375	51958	51958		
GCA_905332245.1	Rs_AK11_maxhap_genomic_v1	Rotaria socialis							Annotation submitted by IMPERIAL COLLEGE LONDON	174984979	Scaffold	3/20/21	CAJOBP01	8683	11614								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117377	50678	50678		
GCA_905249995.1	Dc_DCAR505_reference_genomic_v1	Didymodactylos carnosus							Annotation submitted by IMPERIAL COLLEGE LONDON	323562373	Scaffold	5/18/21	CAJNOK01	7558	7779								IMPERIAL COLLEGE LONDON	PRJEB43239	SAMEA8117359	46286	46286		
GCA_900618015.1	S_curassoni_Dakar_0011_upd	Schistosoma curassoni		"Dakar, Senegal"					Annotation submitted by WTSI	344202215	Scaffold	12/5/18	UZAK01	7099	13861								WTSI	PRJEB519	SAMEA1981063	23546	22695	851	
GCA_905332075.1	Dc_DCAR505_maxhap_genomic_v1	Didymodactylos carnosus							Annotation submitted by IMPERIAL COLLEGE LONDON	344087970	Scaffold	5/18/21	CAJOBA01	6900	7197								IMPERIAL COLLEGE LONDON	PRJEB43238	SAMEA8117359	50399	50399		
GCA_004325035.1	ASM432503v1	Hamiltosporidium magnivora					IL-BN-2		Annotation submitted by Illinois Institute of Technology	17189839	Contig	3/5/19	PIXR01	6803								Illumina	Illinois Institute of Technology	PRJNA419750	SAMN08098117	4180	4180		
GCA_910591925.1	Cetraspora_pellucida_2_28_12_20_2015	Cetraspora pellucida		28 12/20/2015			IN211 (IU-28-1 Pot A Gentium)		Annotation submitted by UPPSALA UNIVERISTY	226809502	Contig	11/12/21	CAJVPW01	4932									UPPSALA UNIVERISTY	PRJEB45340	SAMEA8911299	18058	18058		
GCA_900088575.1	Pmal	Plasmodium malariae							Annotation submitted by KAUST	31925186	Scaffold	6/16/16	FLQW01	4927	6398								KAUST	PRJEB12680	SAMEA3867575	6460	6343	117	
GCA_900617995.1	S_mattheei_Denwood_0011_upd	Schistosoma mattheei		"Denwood, Zambia"					Annotation submitted by WTSI	340818150	Scaffold	12/5/18	UZAL01	4667	12303								WTSI	PRJEB523	SAMEA1034772	22997	22255	742	
GCA_030553495.1	ASM3055349v1	Friedmanniomyces endolithicus		CCFEE 5486					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	25244351	Scaffold	7/31/23	JAUJLJ01	3272	24705							Illumina MiSeq	Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	PRJNA666634	SAMN23564101	9564	9508		56
GCA_030267765.1	ASM3026776v1	Ambrosiozyma monospora		NBRC 1965					"Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)"	32603172	Contig	5/12/23	BSXU01	3189								DNBSEQ-G400	"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)"	PRJDB14607	SAMD00557635	10273	10269		
GCA_030267745.1	ASM3026774v1	Ambrosiozyma monospora		NBRC 10751					"Annotation submitted by Biological Resource Center, National Institute of Technology and Evaluation (NBRC)"	28916333	Contig	5/12/23	BSXS01	1997								DNBSEQ-G400	"Biological Resource Center, National Institute of Technology and Evaluation (NBRC)"	PRJDB14607	SAMD00557649	13445	13436		
GCA_000315895.1	ASM31589v1	Millerozyma farinosa CBS 7064		CBS 7064					Annotation submitted by Genolevures	21459642	Chromosome	11/10/11		1666063	1666063								Genolevures	PRJEA73835	SAMEA2272767	11662	11175	77	396
GCA_001277935.1	ASM127793v1	Drosophila busckii						male	"Annotation submitted by University of California, Berkeley"	135748557	Chromosome	9/2/15		157428	26871514							Illumina	"University of California, Berkeley"	PRJNA274996	SAMN03339664	12116	12116		
GCA_000306695.2	CHM1_1.1	Homo sapiens					CHM1			3037866619	Chromosome	6/14/13	AMYH02	143936	50362920							Illumina HiSeq2000	Washington University School of Medicine	PRJNA176729	SAMN02205338				
GCA_000002165.1	Mm_Celera	Mus musculus		mixed					Annotation submitted by Celera Genomics	3251246261	Chromosome	3/4/09	AAHY01	21690	23250767								Celera Genomics	PRJNA11785	SAMN03004379	31757	27595	4161	
GCA_000001895.4	Rnor_6.0	Rattus norvegicus		mixed				pooled males and females		2870167880	Chromosome	7/1/14	AABR07	100461	14986627							Sanger; SOLiD; PacBio	Rat Genome Sequencing Consortium	PRJNA10629	SAMN02808228				
GCA_000002265.1	Rn_Celera	Rattus norvegicus		BN; Sprague-Dawley					Annotation submitted by Celera Genomics	2931643592	Chromosome	12/6/06	AAHX01	34564	25208765								Celera Genomics	PRJNA13999	SAMN03000701	27309	27272	10	
GCA_000005425.2	Build 4.0	Oryza sativa Japonica Group			Nipponbare				Annotation submitted by International Rice Genome Sequencing Project	382150945	Chromosome	8/7/09		7131322	30828668								International Rice Genome Sequencing Project	PRJNA13141		30294	28392	26	720
GCA_000003205.6	Btau_5.0.1	Bos taurus	Hereford					pooled male and female		2724980740	Chromosome	11/19/15	AAFC05	276285	6806220							Sanger; PacBio RS II	Cattle Genome Sequencing International Consortium	PRJNA12555	SAMN02898106				
GCA_000003055.5	Bos_taurus_UMD_3.1.1	Bos taurus	Hereford					pooled male and female	"Annotation submitted by Center for Bioinformatics and Computational Biology, University of Maryland"	2670123310	Chromosome	11/25/14	DAAA02	96955	6380747							Sanger	"Center for Bioinformatics and Computational Biology, University of Maryland"	PRJNA32899	SAMN02898106	26410	20562	5038	650
GCA_000002315.5	GRCg6a	Gallus gallus	Red Jungle Fowl				RJF #256	female		1065348650	Chromosome	3/27/18	AADN05	17655422	20785086							Pacific Biosciences RSII (P6-C4 and P5-C3 chemistry)	Genome Reference Consortium	PRJNA13342	SAMN02981218				
GCA_000005005.6	B73 RefGen_v4	Zea mays			B73				Annotation submitted by maizesequence	2134373047	Chromosome	2/7/17	LPUQ01	1279870	10679170							PacBio	maizesequence	PRJNA10769	SAMN04296295	39320	39320		
GCA_005444595.1	UMICH_Zoey_3.1	Canis lupus familiaris	Great Dane				Zoey	female		2343202000	Chromosome	5/30/19	REHQ01	4722218	64204256							PacBio RSII	University of Michigan	PRJNA318403	SAMN04851098				
GCA_000772875.3	Mmul_8.0.1	Macaca mulatta					17573	female		3236207768	Chromosome	11/30/15	JSUE03	107172	4193270								Baylor College of Medicine Genome Sequencing Center	PRJNA214746					
GCA_002742125.1	Oar_rambouillet_v1.0	Ovis aries	Rambouillet	OAR_USU_Benz2616				female		2869897780	Chromosome	11/2/17	PEKD01	2572683	107697089							HiSeq X Ten; PacBio RS II	Baylor College of Medicine Human Genome Sequencing Center	PRJNA414087	SAMEA104496890				
GCA_000298735.2	Oar_v4.0	Ovis aries	Texel							2615499683	Chromosome	11/20/15	AMGL02	150472	100009711							Illumina GAII; 454; PacBio RSII	International Sheep Genome Consortium	PRJNA169880	SAMN00116405				
GCA_000987745.1	ASM98774v1	Gossypium hirsutum			TM-1					2188311125	Chromosome	5/5/15	LBLM01	78260	70911690							Illumina Hiseq 2000	BGI-shenzhen	PRJNA259930	SAMN03342414				
GCA_000686985.2	Bra_napus_v2.0	Brassica napus			ZS11					975804240	Chromosome	9/15/17	JMKK02	55410	45943547							Illumina HiSeq 2000	BGI-Shenzhen	PRJNA237736	SAMN02742820				
GCA_001663975.1	Xenopus_laevis_v2	Xenopus laevis		J				female	Annotation submitted by International Xenopus Sequencing Consortium	2718416252	Chromosome	8/9/16	LYTH01	19713	136570856							Illumina HiSeq 2000	International Xenopus Sequencing Consortium	PRJNA313213	SAMN04518361	45942	45942		
GCA_000002195.1	Amel_4.5	Apis mellifera		DH4						250270657	Chromosome	1/14/11	AADG06	45688	997192							Sanger; SOLiD; 454	Human Genome Sequencing Center	PRJNA10625	SAMN00002455				
GCA_000002305.1	EquCab2.0	Equus caballus	thoroughbred				Twilight	female		2474912402	Chromosome	10/29/07	AAWR02	112381	46749900								The Genome Assembly Team	PRJNA18661	SAMN02953672				
GCA_002163495.1	Omyk_1.0	Oncorhynchus mykiss					Swanson	male		2178982971	Chromosome	6/2/17	MSJN01	13827	1670138							Illumina HiSeq	USDA/ARS	PRJNA335610	SAMN05449231				
GCA_000003625.1	OryCun2.0	Oryctolagus cuniculus	Thorbecke inbred					female		2737473256	Chromosome	10/20/09	AAGW02	64648	35972871								The Broad Institute of MIT and Harvard	PRJNA12819	SAMN02953624				
GCA_000364345.1	Macaca_fascicularis_5.0	Macaca fascicularis						female		2946827162	Chromosome	6/12/13	AQIA01	86040	88649475							Illumina HiSeq	Washington University (WashU)	PRJNA20409	SAMN00811240				
GCA_000219495.2	MedtrA17_4.0	Medicago truncatula		A17					JCVI Mt4.0v2	412800391	Chromosome	6/18/14	APNO01	339060	49172423							Sanger; 454; Illumina	Medicago truncatula Consortium	PRJNA10791	SAMN02299339	51519	50444		1075
GCA_000148765.2	MalDomGD1.0	Malus domestica			Golden Delicious					526197889	Chromosome	11/18/10	ACYM01	20981	1759289							Sanger; 454	IASMA research center	PRJNA28845	SAMN02981243				
GCA_000233375.4	ICSASG_v2	Salmo salar	double haploid				Sally	female		3412113583	Chromosome	6/10/15	AGKD04	36085	592762							Illumina HiSeq; PacBio; Sanger; Illumina GAIIx	International Cooperation to Sequence the Atlantic Salmon Genome	PRJNA72713	SAMN02749551				
GCA_000313675.1	ASM31367v1	Oryzias latipes		Hd-rR						869801494	Chromosome	5/9/07	BAAF04	9628	6078048								Medaka genome sequencing project	PRJNA16702	SAMD00036523				
GCA_000710875.1	Pepper Zunla 1 Ref_v1.0	Capsicum annuum			Zunla-1					2935215852	Chromosome	3/11/15	ASJU01	74708	1482743							Illumina HiSeq 2000	BGI	PRJNA186921	SAMN01906946				
GCA_003850225.1	IASCAAS_PekingDuck_PBH1.5	Anas platyrhynchos					PK-2015			1126159488	Chromosome	11/29/18	RHJV01	36811	76129154							PacBio; BioNano; Hi-C	"Institute of Animal Sciences (IAS), Chinese Academy of Agricultural Sciences (CAAS)"	PRJNA496533	SAMN10245527				
GCA_000317415.1	Csi_valencia_1.0	Citrus sinensis			Valencia					327669411	Chromosome	12/12/12	AJPS01	49892	1778813							Illumina	China sweet orange genome project	PRJNA86123	SAMN02981414				
GCA_011064685.2	ZJU_Sfru_1.1	Spodoptera frugiperda					Faw-zju	female		485954603	Chromosome	3/5/20	WMCG01	1129999	16346893							PacBio; Illumina HiSeq	Zhejiang University	PRJNA590312	SAMN13324450				
GCA_003990815.1	ASM399081v1	Daphnia magna		SK				pooled male and female		122937721	Chromosome	1/7/19	QYSF01	14466	10124675							Illumina HiSeq	Sungkyunkwan University	PRJNA490418	SAMN10036042				
GCA_003121395.1	UOA_WB_1	Bubalus bubalis	Mediterranean					female		2655764417	Chromosome	5/14/18	PZYV01	22441509	117219835							PacBio	University of Adelaide	PRJNA437177	SAMN08640746				
GCA_019923925.1	NDDB_DH_1	Bubalus bubalis	Murrah				1.60015E+11	female		2612882031	Chromosome	9/10/21	VDCC01	5359742	117225556							PacBio Sequel; 10X and BioNano Optical Map	"National Dairy Development Board, India"	PRJNA542055	SAMN11104991				
GCA_009663435.2	Callithrix_jacchus_cj1700_1.1	Callithrix jacchus		cj1700			SNPRC 17081; SNPRC 17065; SNPRC 17066	female		2897807928	Chromosome	5/22/20	WJHW01	25227091	98198953								McDonnell Genome Institute at Washington University	PRJNA566173	SAMN12783337				
GCA_000004665.1	Callithrix jacchus-3.2	Callithrix jacchus								2914958544	Chromosome	1/22/10	ACFV01	29273	5167444							ABI 3730	Washington University (WashU)	PRJNA20401	SAMN02981242				
GCA_000409795.2	Chlorocebus_sabeus 1.1	Chlorocebus sabaeus					1994-021	male		2789639778	Chromosome	3/25/14	AQIB01	90449	81825804							454 Titanium; Illumina HiSeq; ABI	Vervet Genomics Consortium	PRJNA168621	SAMN01760484				
GCA_000951615.2	common carp genome	Cyprinus carpio								1713641436	Chromosome	11/3/14		75080	7828959								CHINESE ACADEMY OF FISHERY SCIENCE	PRJEB7241	SAMEA2757102				
GCA_008822105.2	bTaeGut2.pat.W.v2	Taeniopygia guttata					Blue55	female		1068971253	Chromosome	2/21/20	VOHI02	4378277	70879221							PacBio Sequel I; 10X Genomics chromium; Bionano Genomics 2 enzyme; Arima Genomics Hi-C; Illumina HiSeq	Vertebrate Genomes Project	PRJNA555095	SAMN09946140				
GCA_000151805.2	Taeniopygia_guttata-3.2.4	Taeniopygia guttata					Black17	male		1232118738	Chromosome	2/8/13	ABQF01	38644	8236790							Sanger	Washington University Genome Sequencing Center	PRJNA17289	SAMN02981239				
GCA_002917755.1	EL10_1.0	Beta vulgaris subsp. vulgaris			EL10					540534112	Chromosome	2/6/18	PCNB01	2700559	57938902							PacBio; Illumina HiSeq; BioNano physical map	USDA-ARS	PRJNA413079	SAMN07736104				
GCA_000511025.2	RefBeet-1.2.2	Beta vulgaris subsp. vulgaris							Annotation submitted by Beta vulgaris resource	566181630	Chromosome	7/7/15	AYZS02	26519	2013180							454; Illumina GAIIx; Illumina HiSeq; Sanger	Beta vulgaris resource	PRJNA41497	SAMN02182557	26569	26569		
GCA_000754195.3	ASM75419v3	Drosophila simulans		w501					FlyBase Release 2.01	124948802	Chromosome	9/19/14	JPYS01	451931	23539531							Illumina; Sanger	Princeton University	PRJNA170244	SAMN01086904	15266	14179	187	900
GCA_000259055.1	dsim_caf1	Drosophila simulans		mixed					"Annotation submitted by Washington University School of Medicine, Genome Sequencing Center"	137828247	Chromosome	11/2/06	AAGH01	15135	857818								"Washington University School of Medicine, Genome Sequencing Center"	PRJNA18237	SAMN02953618	16104	15413	2	689
GCA_000826755.1	ZizJuj_1.1	Ziziphus jujuba			Dongzao					437753511	Chromosome	2/6/15	JREP01	33947	301045							Illumina HiSeq	Agricultural University of Hebei	PRJNA251714	SAMN02918186				
GCA_002880755.3	Clint_PTRv2	Pan troglodytes					Yerkes chimp pedigree #C0471 (Clint)	male	Annotation submitted by University of Washington	3024031013	Chromosome	1/19/18	NBAG03	12421315	53103722							PacBio; Illumina NextSeq 500; BioNano Saphyr (two enzyme)	University of Washington	PRJNA369439	SAMN06272697	55892	18940	14317	21465
GCA_000001515.5	Pan_tro 3.0	Pan troglodytes					Yerkes chimp pedigree #C0471 (Clint)	male		3231154112	Chromosome	5/3/16	AACZ04	384816	26972556							Sanger; Illumina; PacBio	Chimpanzee Sequencing and Analysis Consortium	PRJNA13184	SAMN02981217				
GCA_013347765.1	ASM1334776v1	Scophthalmus maximus				atlantic turbot	AOZZmale01	male		556679315	Chromosome	6/18/20	JABGBL01	20466349	25949660							Oxford Nanopore PromethION	CIGENE	PRJNA631898	SAMN14896287				
GCA_000612285.2	Gossypium_arboreum_v1.0	Gossypium arboreum			Shixiya1					1694437502	Chromosome	9/28/15	AYOE01	71965	121339338							Illumina Hiseq2000	BGI	PRJNA203683	SAMN02981570				
GCA_000002295.1	MonDom5	Monodelphis domestica								3600487649	Chromosome	1/25/07	AAFR03	107990	527952102								"The Genome Sequencing Platform, The Genome Assembly Team"	PRJNA12561	SAMN02953611				
GCA_000264685.2	Panu_3.0	Papio anubis					1X1155	female		2959356508	Chromosome	4/20/17	AHZZ02	149817	585721							Sanger 3730; 454 FLX; Illumina; PacBio	Human Genome Sequencing Center	PRJNA54005	SAMN02981400				
GCA_000403535.1	Theobroma_cacao_20110822	Theobroma cacao			Matina 1-6				Annotation submitted by Cacao genome consortium	345993675	Chromosome	5/30/13	ALXC01	84396	4345749							454; Illumina; Sanger	Cacao genome consortium	PRJNA51633	SAMN02981445	29234	29234		
GCA_000002325.2	Nvit_2.1	Nasonia vitripennis		AsymCX						295780872	Chromosome	11/28/12	AAZX01	18840	708988							ABI	Baylor College of Medicine	PRJNA13660	SAMN02902141				
GCA_001465895.2	Nfu_20140520	Nothobranchius furzeri		GRZ				female		1242498532	Chromosome	12/11/15	CCSH01	19950	15858201								LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN	PRJEB5837	SAMEA2698544				
GCA_000214255.1	Bter_1.0	Bombus terrestris						male		248654244	Chromosome	6/3/11	AELG01	76043	3506793							454	Baylor College of Medicine	PRJNA45869	SAMN00009041				
GCA_000372685.2	Astyanax_mexicanus-2.0	Astyanax mexicanus					Rio Sabinas/Rio Valles surface cross	female		1335239194	Chromosome	9/25/17	APWO02	1767240	35377769							PacBio_RSII	Washington University School of Medince	PRJNA89115	SAMN02981523				
GCA_002872995.1	Otsh_v1.0	Oncorhynchus tshawytscha					Chilliwack Hatchery Individual DE9421	female		2425697331	Chromosome	1/16/18	PEKY01	133169	1728323							Illumina HiSeq; PacBio	Fisheries and Oceans Canada	PRJNA416144	SAMN07843558				
GCA_000180615.2	FUGU5	Takifugu rubripes						male		391468268	Chromosome	10/13/11	CAAB02	52883	928938								The Fugu Genome Sequencing Consortium	PRJNA1434	SAMEA3138310				
GCA_000005975.1	dyak_caf1	Drosophila yakuba		Tai18E2					FlyBase Release 1.04	165693946	Chromosome	6/27/06	AAEU02	115562	21770863								FlyBase	PRJNA12366	SAMN02952910	16262	14824	338	1100
GCA_001190045.1	Vigan1.1	Vigna angularis			Jingnong 6				Annotation submitted by Beijing University of Agriculture	466744453	Chromosome	7/31/15	JZJH01	38355	1292063							Illumina HiSeq 2000	Beijing University of Agriculture	PRJNA261643	SAMN03074979	34180	34172		
GCA_009078355.1	GENO_Phyp_1.0	Pangasianodon hypophthalmus		Indonesia				male	Annotation submitted by GenoFish	758973678	Chromosome	10/22/19	VFJC01	16187036	26458119							Illumina HiSeq; Oxford Nanopore GridION	GenoFish	PRJNA547555	SAMN11969507	25113	21247	1623	2243
GCA_008122165.1	Kamilah_GGO_v0	Gorilla gorilla gorilla	western lowland gorilla				Kamilah (stud number 0661)	female		3044855802	Chromosome	8/28/19	SRLZ01	9522971	26116462							PacBio RSII; Illumina	University of Washington	PRJNA369439	SAMN11078986				
GCA_000151905.3	gorGor4	Gorilla gorilla gorilla								3063346382	Chromosome	12/19/14	CABD03	52934	81227029								Wellcome Trust Sanger Institute	PRJEA31265	SAMEA2272491				
GCA_018398675.1	ASM1839867v1	Coregonus clupeaformis					EN20210322	male		2682595567	Chromosome	5/25/21	JAGFYH01	5728271	57494107							Oxford Nanopore PromethION	Laval University	PRJNA715481	SAMN18351024				
GCA_000327365.2	Graimondii2_0v2	Gossypium raimondii							Annotation submitted by DOE Joint Genome Institute	761091353	Chromosome	12/20/12	ALYE01	120030	62175169							ABI3730	DOE Joint Genome Institute	PRJNA171262	SAMN02743920	38206	38206		
GCA_010261695.1	La_Amiga3.1	Lupinus albus			Amiga		GWH2020		Annotation submitted by Fujian Agriculture and Forestry University	558896430	Chromosome	2/6/20	JAAEJY01	1656916	18661206							PacBio RSII; Illumina	Fujian Agriculture and Forestry University	PRJNA592024	SAMN12501103	48718	47603		
GCA_000269505.2	DroMir_2.2	Drosophila miranda		MSH22				female		136728780	Chromosome	4/19/13	AJMI02	77651	28826359							Illumina HiSeq; 454	"University of California, Berkeley"	PRJNA77213	SAMN02953815				
GCA_002880775.3	Susie_PABv2	Pongo abelii					Susie	female	Annotation submitted by University of Washington	3065035716	Chromosome	1/19/18	NDHI03	11074009	98475126							PacBio; Illumina NextSeq 500; BioNano Saphyr (two enzyme)	University of Washington	PRJNA369439	SAMN06275555	55217	18685	13937	21374
GCA_016920705.1	AcolMOP1	Anopheles coluzzii					MOPTI	male		273408546	Chromosome	3/10/21	JADFTP01	8269537	99875506							Oxford Nanopore MinION	Virginia Tech	PRJNA634549	SAMN14999449				
GCA_002271895.2	ASM227189v2	Capsicum chinense					PI159236		Annotation submitted by Seoul National University	3070910353	Chromosome	10/30/17	MCIT02	103230	234238532							Illumina HiSeq	Seoul National University	PRJNA331024	SAMN05435899	34974	34974		
GCA_004634155.1	Eluc_v4	Esox lucius					Castlegar BC 2017 Female #2	female		940890280	Chromosome	4/17/19	SAXP01	3396779	37550661							PacBio Sequel; Illumina HiSeq	University of Victoria	PRJNA221548	SAMN09690694				
GCA_000721915.3	Eluc_V3	Esox lucius					CL-BC-CA-002	male		904480558	Chromosome	1/18/17	AZJR03	125635	7945253							Illumina HiSeq; PacBio	"Ben F Koop, Jong S Leong"	PRJNA221548	SAMN02439989				
GCA_012931545.1	Oket_V1	Oncorhynchus keta					Oke142-1_Chum_Gynogen	female		1853087674	Chromosome	4/29/20	JABAHX01	50313	656204							Illumina HiSeq; PacBio Sequel	Fisheries and Oceans Canada	PRJNA556729	SAMN12367893				
GCA_014805675.2	ASM1480567v1.1	Mercenaria mercenaria					YKG-2019			1777616429	Chromosome	10/2/20	WTXZ01	1779571	91379220							PacBio Sequel; Illumina HiSeq	"Institute of Oceanology, Chinese Academy of Sciences"	PRJNA596049	SAMN13611631				
GCA_000258655.2	panpan1.1	Pan paniscus					Ulindi	female		3286627333	Chromosome	8/18/15	AJFE02	66676	8197324							454 GS FLX; 454 GS FLX Titanium	Max-Planck Institute for Evolutionary Anthropology	PRJNA49285	SAMEA1029457				
GCA_000146795.3	Nleu_3.0	Nomascus leucogenys					Asia; international studbook 0098	female		2962060179	Chromosome	12/8/12	ADFV01	35148	52956880							Sanger	Gibbon Genome Sequencing Consortium	PRJNA13975	SAMN02981257				
GCA_017552425.1	ASM1755242v1	Salix suchowensis				Nanjing	XY12	female	Annotation submitted by Nanjing Forestry University	355718341	Chromosome	3/24/21	JAEQKX01	200000	16776717							PacBio RSII	Nanjing Forestry University	PRJNA668632	SAMN16416250	36449	36449		
GCA_023376185.1	v1	Cichorium endivia			Jinhuakuju				"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	886977840	Chromosome	5/18/22	JAKOPN01	9012837	85316906							PacBio HiFi	"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	PRJNA797903	SAMN25039898	60411	51881	8530	
GCA_000004015.3	AaegL3	Aedes aegypti		Liverpool					Annotation submitted by VectorBase	1383957531	Scaffold	4/30/14	AAGE02	82618	1547048								VectorBase	PRJNA12434	SAMN02953616	17350	15987	5	1358
GCA_000149205.2	ASM14920v2	Aspergillus nidulans FGSC A4		FGSC A4					Annotation submitted by Broad Institute	30242742	Scaffold	3/1/12	AACD01	282268	2478513								Broad Institute	PRJNA130	SAMN02953587	9591	9561		30
GCA_000457365.2	ASM45736v2	Biomphalaria glabrata					BB02			914943342	Scaffold	9/6/13	APKA01	7299	48076							454 FLX Titanium	Washington University (WashU)	PRJNA12879	SAMN02953846				
